Tecnicos,Complementariedad,Conocimiento Común,Conocimiento Especializado,Compatibilidad Total,Bloque
"['MAD1SOFT02', 'MAD1SOFT09']",1.0,0.5714285714285714,0.7801204819277109,0.837327882960413,1
"['MAD1SOFT03', 'MAD1SOFT10']",0.668918918918919,0.4126984126984127,0.5873493975903614,0.5891254852098226,1
"['MAD1SOFT01', 'MAD1SOFT06']",0.5,0.1587301587301587,0.4849397590361445,0.4264749474086823,1
"['MAD1SOFT04', 'MAD1SOFT07']",0.5,0.1587301587301587,0.4307228915662651,0.4074990437942245,1
"['MAD1SOFT05', 'MAD1SOFT08']",0.5,0.1587301587301587,0.4307228915662651,0.4074990437942245,1
"['MAD1SOFT04', 'MAD1SOFT09', 'MAD1SOFT13']",1.0,0.5714285714285714,0.6174698795180723,0.7804001721170396,2
"['MAD1SOFT07', 'MAD1SOFT10']",0.668918918918919,0.4126984126984127,0.5873493975903614,0.5891254852098226,2
"['MAD1SOFT01', 'MAD1SOFT02']",0.5,0.1587301587301587,0.4849397590361445,0.4264749474086823,2
"['MAD1SOFT03', 'MAD1SOFT06']",0.5,0.1587301587301587,0.5391566265060241,0.4454508510231402,2
"['MAD1SOFT05', 'MAD1SOFT08']",0.5,0.1587301587301587,0.4307228915662651,0.4074990437942245,2
"['MAD1SOFT06', 'MAD1SOFT09']",1.0,0.5714285714285714,0.7801204819277109,0.837327882960413,3
"['MAD1SOFT01', 'MAD1SOFT10']",0.668918918918919,0.4126984126984127,0.5873493975903614,0.5891254852098226,3
"['MAD1SOFT02', 'MAD1SOFT03']",0.5,0.1587301587301587,0.5391566265060241,0.4454508510231402,3
"['MAD1SOFT07', 'MAD1SOFT08']",0.5,0.1587301587301587,0.4849397590361445,0.4264749474086823,3
"['MAD1SOFT04', 'MAD1SOFT05']",0.5,0.1587301587301587,0.4307228915662651,0.4074990437942245,3
"['MAD1SOFT08', 'MAD1SOFT09']",1.0,0.5714285714285714,0.6716867469879518,0.7993760757314974,4
"['MAD1SOFT05', 'MAD1SOFT10']",0.668918918918919,0.4126984126984127,0.5873493975903614,0.5891254852098226,4
"['MAD1SOFT02', 'MAD1SOFT07']",0.5,0.1587301587301587,0.5391566265060241,0.4454508510231402,4
"['MAD1SOFT03', 'MAD1SOFT04']",0.5,0.1587301587301587,0.4307228915662651,0.4074990437942245,4
"['MAD1SOFT01', 'MAD1SOFT06']",0.5,0.1587301587301587,0.4849397590361445,0.4264749474086823,4
"['MAD1SOFT09', 'MAD1SOFT10']",0.8875,0.6825396825396826,1.0,0.8858829365079365,5
"['MAD1SOFT02', 'MAD1SOFT05']",0.5,0.1587301587301587,0.4307228915662651,0.4074990437942245,5
"['MAD1SOFT06', 'MAD1SOFT07']",0.5,0.1587301587301587,0.5391566265060241,0.4454508510231402,5
"['MAD1SOFT03', 'MAD1SOFT08']",0.5,0.1587301587301587,0.4849397590361445,0.4264749474086823,5
"['MAD1SOFT01', 'MAD1SOFT04']",0.5,0.1587301587301587,0.4307228915662651,0.4074990437942245,5
